Cell ID,Axis1,Axis2,Cluster,t11V1,t11V2,t12V1,t12V2,t13V1,t13V2,Cell_Cycle_Phase
AScale2,-0.6,0.4,Ascale,,,,,,,x
AScale1,0.75,0.4,Ascale,,,,,,,x
AScale3,-0.6,-0.75,Ascale,,,,,,,x
MOL_21,-0.505161,0.366335,MOL,,,,,-0.516761,0.358965,G1
MOL_41,-0.511435,0.340224,MOL,,,,,-0.507193,0.342809,G1
MOL_40,-0.504952,0.305809,MOL,,,,,-0.490351,0.315177,G1
MOL_56,-0.452345,0.280681,MOL,,,,,-0.463111,0.273472,G1
MOL_55,-0.476184,0.26682,MOL,,,,,-0.463986,0.274781,G1
MOL_22,-0.451235,0.246912,MOL,,,,,-0.447147,0.249651,G1
MOL_44,-0.4034,0.225553,MOL,,,,,-0.423678,0.21308,G1
MOL_68,-0.398279,0.223703,MOL,,,,,-0.421641,0.209687,G1
MOL_39,-0.429879,0.221348,MOL,,,,,-0.429095,0.221856,G1
MOL_30,-0.389624,0.21757,MOL,,,,,-0.416944,0.201634,G1
MOL_54,-0.445341,0.209566,MOL,,,,,-0.428138,0.220328,G1
MOL_57,-0.396431,0.190589,MOL,,,,,-0.407427,0.184549,G1
MOL_38,-0.414244,0.184055,MOL,,,,,-0.40882,0.187083,G1
MOL_26,-0.412589,0.170086,MOL,,,,,-0.402518,0.17563,G1
MOL_15,-0.397248,0.165656,MOL,,,,,-0.396992,0.1658,G1
MOL_60,-0.38704,0.149434,MOL,,,,,-0.387144,0.14937,G1
MOL_8,-0.397589,0.14776,MOL,,,,,-0.389278,0.152801,G1
MOL_74,-0.377323,0.146472,MOL,,,,,-0.382989,0.142857,G1
MOL_10,-0.364718,0.146169,MOL,,,,,-0.378971,0.136728,G1
MOL_72,-0.382657,0.142445,MOL,,,,,-0.382703,0.142416,G1
MOL_61,-0.372755,0.140596,MOL,,,,,-0.378854,0.136551,G1
MOL_34,-0.374653,0.138137,MOL,,,,,-0.378299,0.135715,G1
MOL_62,-0.376907,0.135748,MOL,,,,,-0.377887,0.135096,G1
MOL_45,-0.384856,0.133655,MOL,,,,,-0.379342,0.137289,G1
MOL_67,-0.368237,0.133189,MOL,,,,,-0.373994,0.129298,G1
MOL_27,-0.335324,0.132261,MOL,,,,,-0.363098,0.11332,G1
MOL_13,-0.37424,0.1294,MOL,,,,,-0.374119,0.129482,G1
MOL_6,-0.440565,0.129206,MOL,,,,,-0.392581,0.158246,G1
MOL_19,-0.404627,0.124103,MOL,,,,,-0.380872,0.139609,G1
MOL_48,-0.386652,0.122728,MOL,,,,,-0.374884,0.130617,G1
MOL_73,-0.333977,0.122359,MOL,,,,,-0.358072,0.105946,G1
MOL_52,-0.350021,0.119732,MOL,,,,,-0.361925,0.111602,G1
MOL_29,-0.333863,0.105555,MOL,,,,,-0.350172,0.0943978,G1
MOL_20,-0.310377,0.0968757,MOL,,,,,-0.337181,0.0764195,G1
